id,name,type,league
ABE,ACHIM BEIERLORZER,1,1
ABR,ANDRÉ BREITENREITER,1,1
ACO,ANTE COVIC,1,1
AH,ADI HÜTTER,1,6
AHI,ANDREAS HINKEL,1,1
AJO,ANDRIES JONKER,1,1
ANO,ALEXANDER NOURI,1,1
APA,ANDRÉ PAWLAK,1,1
AR,ARMIN REUTERSHAHN,1,1
AS,ALFRED SCHREUDER,1,1
ASC,ANDRE SCHUBERT,1,1
AVE,ARMIN VEH,1,1
AZO,ALEXANDER ZORNIGER,1,1
B04,BAYER 04 LEVERKUSEN,2,1
BHO,BERND HOLLERBACH,1,1
BLAB,BRUNO LABBADIA,1,1
BMG,BORUSSIA MÖNCHENGLADBACH,2,1
BS,BO SVENNSON,1,1
BSC,HERTHA BSC,2,1
BSCH,BORIS SCHOMMERS,1,1
BVB,BORUSSIA DORTMUND,2,1
BVM,BERT VAN MARWIJK,1,1
CA,CARLO ANCELOTTI,1,6
CG,CHRISTIAN GROSS,1,1
CST,CHRISTIAN STREICH,1,1
CT,CHRISTIAN TITZ,1,1
DAST,DANIEL STENDEL,1,1
DFA,DANIEL FARKE,1,6
DGR,DIMITRIOS GRAMMOZIS,1,1
DH,DIETER HECKING,1,1
DSC,ARMINIA BIELEFELD,2,1
DSCH,DIRK SCHUSTER,1,1
DT,DOMENICO TEDESCO,1,1
DTO,DINO TOPPMÖLLER,1,1
DWA,DAVID WAGNER,1,1
ENMA,ENRICO MAASSEN,1,1
ETE,EDIN TERZIC,1,1
F95,FORTUNA DÜSSELDORF,2,1
FCA,FC AUGSBURG,2,1
FCB,FC BAYERN MÜNCHEN,2,1
FCI,FC INGOLSTADT 04,2,1
FCK,1. FC KÖLN,2,1
FCKA,1. FC KAISERSLAUTERN,2,1
FCN,1. FC NÜRNBERG,2,1
FF,FRIEDHELM FUNKEL,1,1
FKO,FLORIAN KOHFELDT,1,1
FKR,FRANK KRAMER,1,1
FMA,FELIX MAGATH,1,6
FS,FRANK SCHAEFER,1,1
FSVM,1. FSV MAINZ 05,2,1
GS,GERARDO SEOANE,1,1
GV,GERTJAN VERBEEK,1,1
H96,HANNOVER 96,2,1
HF,HANSI FLICK,1,1
HH,HEIKO HERRLICH,1,1
HS,HUUB STEVENS,1,1
HST,HOLGER STANISLAWSKI,1,1
HSV,HAMBURGER SV,2,1
HW,HANNES WOLF,1,1
JH,JUPP HEYNCKES,1,1
JK,JENS KELLER,1,1
JKL,JÜRGEN KLINSMANN,1,1
JKLO,JÜRGEN KLOPP,1,6
JKR,JÜRGEN KRAMNY,1,1
JLU,JOS LUHUKAY,1,1
JMA,JESSE MARSCH,1,6
JML,JAN MORITZ LICHTE,1,1
JN,JULIAN NAGELSMANN,1,1
JZ,JOSEF ZINNBAUER,1,1
KBA,KRASIMIR BALAKOV,1,1
KH,KASPER HJULMAND,1,1
LFA,LUCIEN FAVRE,1,6
LGK,LORENZ-GÜNTHER KÖSTNER,1,1
LPR,LUDWIG PREIS,1,1
MBA,MANUEL BAUM,1,1
MBAB,MARKUS BABBEL,1,1
MBÜ,MIKE BÜSKENS,1,1
MF,MICHAEL FRONTZECK,1,1
MG,MARKUS GISDOL,1,1
MHE,MICHAEL HENKE,1,1
MK,MICHAEL KÖLLNER,1,1
MKAU,MARKUS KAUCZINSKI,1,1
MKO,MARCO KOSTMANN,1,1
MKU,MARCO KURZ,1,1
MOE,MICHAEL OENNING,1,1
MR,MARCO ROSE,1,1
MRA,MARCEL RAPP,1,1
MSC,MARTIN SCHMIDT,1,1
MSCH,MANFRED SCHMID,1,1
MSK,MICHAEL SKIBBE,1,1
MSL,MIRKO SLOMKA,1,1
MSO,MARCUS SORG,1,1
MVB,MARK VAN BOMMEL,1,1
MW,MARKUS WEINZIERL,1,1
MWA,MAIK WALPURGIS,1,1
MWI,MICHAEL WIMMER,1,1
MWIE,MICHAEL WIESINGER,1,1
NK,NIKO KOVAC,1,6
NM,NORBERT MEIER,1,1
NW,NICO WILLIG,1,1
OG,OLIVER GLASNER,1,1
OR,OTTO REHHAGEL,1,1
PB,PETER BOSZ,1,6
PD,PAL DARDAI,1,1
PGU,PEPP GUARDIOLA,1,1
PKN,PETER KNÄBEL,1,1
PM,PELLEGRINO MATARAZZO,1,1
PST,PETER STÖGER,1,1
RBER,RAMON BERNDROTH,1,1
RBL,RB LEIPZIG,2,1
RC,RODOLFO CARDOSO,1,1
