id,name,type,league
AB,Abelardo,1,3
ABI,Athletic Bilbao,2,3
ACE,Álvaro Cervera,1,3
AFE,Albert Ferrer,1,3
AG,Asier Garitano,1,3
AL,Alessio Lisci,1,3
ALA,Deportivo Alaves,2,3
ALC,Albert Celades,1,3
AM,Atlètico Madrid,2,3
AMO,Antonio Mohamed,1,3
ARE,Abel Resino,1,3
ATR,Alexis Trujillo,1,6
BSCHU,Bernd Schuster,1,3
CAO,CA Osasuna,2,3
CCF,Cádiz CF,2,3
CCO,Cosmin Contra,1,3
CDL,CD Leganes,2,3
COG,Constantin Galca,1,3
CPA,Cristobal Parralo,1,3
CZ,Cuco Ziganda,1,3
DG,David Gallego,1,3
DLC,Deportivo La Coruna,2,3
DP,Domingos Paciencia,1,3
DSI,Diego Simeone,1,3
EBE,Eduardo Berizzo,1,3
EMA,Enrique Martín,1,3
EU,Eusebio,1,3
EV,Ernesto Valverde,1,3
FCBA,FC Barcelona,2,3
FCCO,FC Córdoba,2,3
FCE,FC Elche,2,3
FCM,FC Malaga,2,3
FE,Fran Escribá,1,3
FGO,Fabri Gonzales,1,3
FRU,Francisco Rufete,1,3
FV,Fernando Vázquez,1,3
GCA,Gabriel Calderon,1,3
GCF,Getafe CF,2,3
GDB,Giovanni De Biasi,1,3
GFC,Girona FC,2,3
GG,Gennaro Gattuso,1,3
GGA,Gaizka Garitano,1,3
GMA,Gregorio Manzano,1,3
GMAR,Gerardo Martino,1,3
GN,Gary Neville,1,3
GRFC,Granada FC,2,3
HCU,Hector Cuper,1,3
IA,Imanol Alguacil,1,3
ITE,Inaki Tejada,1,3
JAC,Javier Calleja,1,3
JACA,Javier Cabello,1,3
JACL,Javier Clemente,1,3
JAG,Javier Aguirre,1,3
JANQ,Juan Anquela,1,3
JAP,Juan Antonio Pizzi,1,3
JAR,Jagoba Arrasate,1,3
JARO,Jose Antonio Romero,1,3
JC,Joaquín Caparrós,1,3
JCG,Juan Carlos Garrido,1,3
JCU,Juan Carlos Unzue,1,3
JE,Juan Esnáider,1,3
JFM,Jose Francisco Molina,1,3
JIM,Juan Ignacio Martinez,1,3
JLO,Jose Luis Oltra,1,3
JME,Juan Merino,1,3
JMU,Juan Muñiz,1,3
JOG,José González,1,3
JPE,Javier Pereira,1,3
